OBJECTID,BlockLot,PermitNum,NEIGHBOR,DateIssue,Converted,Year,Longitude,Latitude
1591847,5165B024,USE2020-50314,WOODBOURNE-MCCABE,2/27/20,2/27/20 0:00,2020,-76.60713496,39.35336851
1591851,5165B029,USE2020-54125,WOODBOURNE-MCCABE,9/18/20,9/18/20 0:00,2020,-76.60766453,39.35361492
1591899,5165C040,USE2020-53659,WOODBOURNE-MCCABE,9/10/20,9/10/20 0:00,2020,-76.60638759,39.35288756
1591948,5165D054,USE2020-51332,WOODBOURNE-MCCABE,3/13/20,3/13/20 0:00,2020,-76.60542447,39.35237766
1592177,5173A007,USE2019-55793,WINSTON-GOVANS,1/3/20,1/3/20 0:00,2020,-76.60554246,39.35013246
1592202,5173B012,USE2020-50831,WINSTON-GOVANS,2/27/20,2/27/20 0:00,2020,-76.60338012,39.35037384
1592456,5181 016,USE2020-52198,WINSTON-GOVANS,6/4/20,6/4/20 0:00,2020,-76.60509573,39.3483782
1592972,5198 023,USE2020-54708,KENILWORTH PARK,10/21/20,10/21/20 0:00,2020,-76.6018631,39.34571703
1593634,5210B050,USE2020-51927,IDLEWOOD,5/27/20,5/27/20 0:00,2020,-76.58976374,39.37088067
1594760,5211 051,USE2020-55300,WILSON PARK,12/14/20,12/14/20 0:00,2020,-76.60863902,39.34127159
1594762,5211 053,USE2020-50632,WILSON PARK,2/13/20,2/13/20 0:00,2020,-76.60874647,39.34126808
1594945,5213 035,USE2018-55960,RICHNOR SPRINGS,10/26/20,10/26/20 0:00,2020,-76.60826313,39.34704894
1594949,5213 039,USE2020-53819,RICHNOR SPRINGS,12/18/20,12/18/20 0:00,2020,-76.60790891,39.34702539
1594982,5214 021,USE2020-50468,WRENLANE,4/8/20,4/8/20 0:00,2020,-76.60755314,39.34591843
1594983,5214 022,USE2020-50097,WRENLANE,1/9/20,1/9/20 0:00,2020,-76.6075438,39.34596316
1595013,5214A006,USE2019-54298,RICHNOR SPRINGS,6/12/20,6/12/20 0:00,2020,-76.60747301,39.34644021
1595598,5237 331,USE2020-54629,RAMBLEWOOD,11/6/20,11/6/20 0:00,2020,-76.59005677,39.36273173
1596193,5237B261,USE2019-56132,LOCH RAVEN,5/18/20,5/18/20 0:00,2020,-76.58526551,39.36066208
1597415,5267H105,USE2020-52199,NEW NORTHWOOD,6/5/20,6/5/20 0:00,2020,-76.59438185,39.35003078
1597665,5267J196,USE2020-51670,NEW NORTHWOOD,5/4/20,5/4/20 0:00,2020,-76.59427309,39.35130659
1598118,5267O304,USE2020-51147,STONEWOOD-PENTWOOD-WINSTON,6/29/20,6/29/20 0:00,2020,-76.58628106,39.34754492
1598872,5288 129,USE2020-52066,LOCH RAVEN,6/8/20,6/8/20 0:00,2020,-76.57758566,39.35673076
1599845,5346 016,USE2020-53990,LAURAVILLE,9/10/20,9/10/20 0:00,2020,-76.57588874,39.34256572
1599931,5349 006,USE2020-54209,LAURAVILLE,9/21/20,9/21/20 0:00,2020,-76.57596934,39.34580908
1600782,5384 010B,USE2020-52288,LAURAVILLE,7/17/20,7/17/20 0:00,2020,-76.56603843,39.34746539
1601880,5387 854,USE2020-53917,PERRING LOCH,10/6/20,10/6/20 0:00,2020,-76.58223788,39.35066145
1601999,5390 040,USE2020-53885,LAURAVILLE,9/8/20,9/8/20 0:00,2020,-76.56679438,39.35155306
1602539,5408D028,USE2019-55874,HAMILTON HILLS,3/24/20,3/24/20 0:00,2020,-76.56739375,39.35789446
1602626,5411 011,USE2020-51391,HAMILTON HILLS,3/18/20,3/18/20 0:00,2020,-76.56498796,39.35671131
1602703,5412B005,USE2019-52856,HAMILTON HILLS,4/28/20,4/28/20 0:00,2020,-76.564269,39.3551703
1602843,5415 023,USE2020-53225,HAMILTON HILLS,7/31/20,7/31/20 0:00,2020,-76.56095627,39.35534081
1603309,5426 022,USE2019-54559,HAMILTON HILLS,10/1/20,10/1/20 0:00,2020,-76.56515335,39.36101757
1603487,5434 063,USE2020-52408,HAMILTON HILLS,8/18/20,8/18/20 0:00,2020,-76.56126961,39.36088329
1605549,5514A006,USE2020-54745,TAYLOR HEIGHTS,12/9/20,12/9/20 0:00,2020,-76.52982645,39.36409659
1606943,5570F006,USE2019-55001,OVERLEA,2/13/20,2/13/20 0:00,2020,-76.53562207,39.35836297
1607211,5603 019,USE2020-51683,ROSEMONT EAST,6/5/20,6/5/20 0:00,2020,-76.5364224,39.35313689
1608049,5618 009,USE2020-51380,WESTFIELD,10/16/20,10/16/20 0:00,2020,-76.55492114,39.35934328
1609135,5668G110,USE2020-52432,GLENHAM-BELHAR,7/10/20,7/10/20 0:00,2020,-76.54426443,39.34935827
1609369,5681 004,USE2020-52330,GLENHAM-BELHAR,7/6/20,7/6/20 0:00,2020,-76.55567611,39.35577487
1609679,5691 001,USE2020-50520,GLENHAM-BELHAR,2/11/20,2/11/20 0:00,2020,-76.54654619,39.34719964
1609997,5695F076,USE2020-53228,GLENHAM-BELHAR,7/30/20,7/30/20 0:00,2020,-76.542837,39.34502782
1610227,5709 005,USE2020-52419,CEDMONT,6/16/20,6/16/20 0:00,2020,-76.53114951,39.35354112
1610514,5722 017,USE2018-54578,CEDMONT,12/10/20,12/10/20 0:00,2020,-76.53702933,39.3478818
1610695,5728 002,USE2019-55893,CEDMONT,1/2/20,1/2/20 0:00,2020,-76.5354647,39.34701447
1612136,5774A001C,USE2019-56415,WALTHERSON,2/21/20,2/21/20 0:00,2020,-76.55977725,39.34922481
1612772,5797 036,USE2020-50227,WALTHERSON,1/28/20,1/28/20 0:00,2020,-76.56343382,39.34950173
1612842,5798 030A,USE2020-51817,WALTHERSON,4/27/20,4/27/20 0:00,2020,-76.56120915,39.34618639
1612927,5804 026,USE2020-50486,WALTHERSON,3/17/20,3/17/20 0:00,2020,-76.56463516,39.34728328
1613556,5826 015B,USE2020-50126,WALTHERSON,2/5/20,2/5/20 0:00,2020,-76.55363049,39.34019303
1614082,5843 008A,USE2020-50693,WALTHERSON,2/27/20,2/27/20 0:00,2020,-76.55564579,39.33739393
1614126,5845 005,USE2020-52897,WALTHERSON,7/16/20,7/16/20 0:00,2020,-76.55379367,39.33696549
1614128,5845 007,USE2020-51515,WALTHERSON,4/1/20,4/1/20 0:00,2020,-76.55369467,39.33703474
1614268,5850 025,USE2019-55774,WALTHERSON,6/5/20,6/5/20 0:00,2020,-76.55636967,39.33979511
1614510,5862A013A,USE2020-53610,WALTHERSON,9/14/20,9/14/20 0:00,2020,-76.56150951,39.33483466
1615149,5864O141,USE2020-52072,WALTHERSON,7/6/20,7/6/20 0:00,2020,-76.5626703,39.33686409
1615719,5898F022,USE2019-54581,ARCADIA,3/25/20,3/25/20 0:00,2020,-76.56792134,39.33237013
1615762,5898H009A,USE2020-52109,ARCADIA,7/27/20,7/27/20 0:00,2020,-76.56678884,39.32986484
1615771,5898H015,USE2020-52218,ARCADIA,5/29/20,5/29/20 0:00,2020,-76.56762037,39.33041302
1615793,5898H037,USE2020-51169,BELAIR-PARKSIDE,6/11/20,6/11/20 0:00,2020,-76.56572487,39.32952226
1616079,5907 052,USE2020-51357,BELAIR-EDISON,9/23/20,9/23/20 0:00,2020,-76.56903152,39.32454577
1616128,5908 048,USE2019-56377,BELAIR-EDISON,1/3/20,1/3/20 0:00,2020,-76.56818488,39.32486154
